batch_size,learning_rate,momentum,time,loss_train,acc_train,loss_validate,acc_validate
100,0.001,0.01,42.279101848602295,"[2.48916127994234, 2.4816544091722577, 2.4742023559141524, 2.466804197926913, 2.459459332767213, 2.4521669405527606, 2.444926310019161, 2.437736861797175, 2.4305977410941955, 2.4235084448036, 2.416468059512822, 2.4094760899029373, 2.4025320436144293, 2.395635174377515, 2.388784843440321, 2.381980715667508, 2.3752221470652835, 2.368508456650523, 2.361839383670181, 2.355213992390361, 2.3486321062307085, 2.3420931717041578, 2.3355966843433182, 2.329142022923222, 2.3227289560893736, 2.3163568471974174, 2.310025135218432, 2.3037335974698148, 2.29748183307144, 2.2912692808438453, 2.28509538540308, 2.27896008137853, 2.272862671455226, 2.2668027716589734, 2.260780180539617, 2.254794467242504, 2.24884517584134, 2.2429319274670907, 2.237054409046894, 2.2312121458630316, 2.2254047827516303, 2.219632106486669, 2.2138937323579184, 2.2081893063655325, 2.2025184321920204, 2.196880932116968, 2.1912761830012073, 2.1857042679437786, 2.180164394484194, 2.174656564285229]","[0.11463636363636363, 0.11643636363636362, 0.11832727272727273, 0.12014545454545454, 0.12187272727272727, 0.1236727272727273, 0.12590909090909091, 0.12787272727272728, 0.13, 0.13240000000000002, 0.13421818181818182, 0.13643636363636366, 0.13858181818181817, 0.1406909090909091, 0.1431818181818182, 0.1456909090909091, 0.14845454545454548, 0.1508, 0.15287272727272727, 0.15527272727272728, 0.1579090909090909, 0.1604, 0.16305454545454548, 0.16518181818181818, 0.16783636363636364, 0.17072727272727273, 0.17363636363636364, 0.17618181818181816, 0.17914545454545455, 0.18174545454545454, 0.18441818181818184, 0.18681818181818183, 0.18923636363636362, 0.19236363636363635, 0.1950909090909091, 0.19767272727272728, 0.20025454545454546, 0.20314545454545452, 0.20583636363636365, 0.2086909090909091, 0.2108363636363636, 0.21365454545454543, 0.21616363636363634, 0.2188363636363636, 0.22147272727272727, 0.22427272727272726, 0.22709090909090907, 0.23045454545454544, 0.2332181818181818, 0.2359272727272727]",2.1656646638787094,0.2328
100,0.001,0.1,44.829254388809204,"[2.400718064498804, 2.321279383993589, 2.2486073783522165, 2.181606962394626, 2.1194618594140815, 2.0615450166906473, 2.0073519976951544, 1.956483305148026, 1.908592003425893, 1.8633890107299393, 1.8206311608252799, 1.7801038364885413, 1.741634891397679, 1.7050612122172657, 1.6702452920041362, 1.637061822243003, 1.6054034833350828, 1.5751743823473556, 1.5462858796621533, 1.5186589291453174, 1.4922175952192607, 1.4668965878944218, 1.4426311566528658, 1.4193639726456286, 1.397040846482982, 1.3756106637448924, 1.3550261784899023, 1.3352411654590073, 1.3162163914925562, 1.2979110701252115, 1.2802883518140455, 1.2633144359089306, 1.2469557971597869, 1.2311824311785329, 1.215964710746559, 1.2012772454217733, 1.1870930732684004, 1.1733880838722064, 1.1601403035937534, 1.1473286791465427, 1.134931402402223, 1.1229305900360735, 1.1113073439487156, 1.1000458063270053, 1.0891299066314104, 1.0785433117335586, 1.0682726832601777, 1.0583039924682967, 1.0486246777711188, 1.0392228269081467]","[0.17738181818181817, 0.20396363636363637, 0.2337818181818182, 0.26298181818181815, 0.2925090909090909, 0.3222, 0.351, 0.37974545454545455, 0.4074, 0.4350181818181818, 0.46083636363636366, 0.4850363636363637, 0.5081636363636364, 0.5287272727272727, 0.5471818181818182, 0.5636, 0.5780727272727273, 0.591909090909091, 0.6043999999999999, 0.6164181818181819, 0.6276727272727273, 0.6376727272727272, 0.6465636363636363, 0.6548545454545455, 0.6636, 0.6710909090909091, 0.6789636363636363, 0.685490909090909, 0.6920363636363637, 0.6977272727272728, 0.7032181818181817, 0.7088363636363636, 0.713690909090909, 0.7182181818181818, 0.7227454545454546, 0.7268, 0.7304363636363637, 0.7343272727272727, 0.7377636363636363, 0.7414909090909091, 0.7447636363636364, 0.7479272727272727, 0.7503090909090909, 0.7531272727272728, 0.7559454545454546, 0.7581636363636364, 0.7604181818181819, 0.7624909090909091, 0.7646545454545456, 0.7665272727272728]",0.953294025919916,0.8160000000000001
100,0.001,0.2,45.424691915512085,"[2.3723798815558452, 2.212663216599286, 2.078990095563126, 1.9629346847738844, 1.8603705184831216, 1.768852569146114, 1.6867587004999458, 1.6128166187237192, 1.5460112062520437, 1.4854922314927381, 1.430517256106206, 1.3804418196288413, 1.334715702033007, 1.2928506641065156, 1.2544186685536793, 1.2190507705172133, 1.1864183839616593, 1.1562322055851146, 1.1282451401624554, 1.1022321489642277, 1.0780028202217486, 1.0553812687567936, 1.0342178263493083, 1.0143771314222318, 0.995740544055936, 0.9782033261774737, 0.9616696851070977, 0.9460552916551238, 0.9312866327713002, 0.9172954095747057, 0.9040195273789811, 0.8914050383486734, 0.8794039199103101, 0.8679701322394702, 0.8570633503526979, 0.8466474616829854, 0.8366881783010947, 0.8271551796263779, 0.8180224551729399, 0.8092615441852602, 0.8008528435118092, 0.7927711367573489, 0.7849980287067168, 0.7775162157578133, 0.7703093213744293, 0.7633600804305751, 0.7566546483999373, 0.7501812328262925, 0.7439255232156192, 0.7378780058074502]","[0.09321818181818183, 0.16078181818181816, 0.25327272727272726, 0.34465454545454544, 0.4194909090909091, 0.4798545454545455, 0.5276727272727273, 0.5683818181818182, 0.6006545454545454, 0.6260727272727272, 0.6484727272727272, 0.6669454545454545, 0.6828, 0.6958545454545455, 0.7074545454545454, 0.7181090909090909, 0.7277454545454546, 0.7360181818181818, 0.7429818181818182, 0.7498181818181818, 0.7556363636363636, 0.7610545454545454, 0.7653454545454546, 0.7696727272727273, 0.7740727272727272, 0.7782727272727272, 0.7821454545454545, 0.7850727272727273, 0.7879636363636363, 0.7908545454545455, 0.7933272727272728, 0.796109090909091, 0.7983636363636364, 0.8006909090909091, 0.8025272727272728, 0.8044363636363637, 0.8061999999999999, 0.8080545454545454, 0.8098545454545455, 0.812109090909091, 0.8136, 0.8150727272727273, 0.8163454545454546, 0.8178, 0.8192363636363637, 0.8205272727272727, 0.8219090909090909, 0.8230545454545454, 0.8243636363636363, 0.825309090909091]",0.6393544576398553,0.8704000000000001
100,0.001,0.3,47.897788286209106,"[2.3313516674641424, 2.0972143247003334, 1.908378002987938, 1.752181032950185, 1.6214409370590854, 1.5110575284129448, 1.4171923411984497, 1.33680649083583, 1.2674513392472888, 1.2071834013305067, 1.1544404540453825, 1.107971406039064, 1.0667661609186823, 1.0300081034799629, 0.9970320296144961, 0.9672902202946538, 0.9403357586008114, 0.9157980535480454, 0.8933639155053456, 0.8727748146005098, 0.8538073493582332, 0.8362757622921867, 0.8200204879239013, 0.804903392856573, 0.7908081569828684, 0.7776270460778887, 0.7652739666499899, 0.7536711120899086, 0.7427510362938874, 0.7324492431746729, 0.7227145672018921, 0.7134992351320797, 0.7047623767978699, 0.6964636689167207, 0.688572418832399, 0.6810539817788409, 0.6738842425111178, 0.6670360319009344, 0.6604893910184655, 0.654221638430256, 0.648215824083115, 0.6424536478774913, 0.6369210795465251, 0.6316038376224483, 0.626487450221314, 0.6215603542463377, 0.616813128588653, 0.6122336896285151, 0.6078132869208637, 0.6035437408665794]","[0.1767272727272727, 0.28701818181818184, 0.41852727272727275, 0.5258545454545455, 0.5929454545454546, 0.6368363636363636, 0.6680181818181817, 0.6932545454545453, 0.7132727272727272, 0.7289636363636364, 0.7429636363636364, 0.7541454545454545, 0.7634181818181818, 0.7717454545454546, 0.7790363636363636, 0.7853636363636364, 0.7914363636363636, 0.7964, 0.8006909090909091, 0.8044181818181818, 0.8082363636363636, 0.8115272727272728, 0.8145818181818182, 0.816890909090909, 0.8198181818181818, 0.8219090909090908, 0.8238909090909091, 0.8254545454545454, 0.8272545454545455, 0.8289454545454544, 0.8308909090909091, 0.8326727272727273, 0.8340181818181819, 0.8355818181818183, 0.8366727272727272, 0.8380363636363637, 0.8393636363636363, 0.8402545454545456, 0.8411636363636363, 0.8424181818181818, 0.8434545454545455, 0.8445636363636363, 0.8454909090909092, 0.8463999999999999, 0.8471636363636363, 0.8481818181818181, 0.8489636363636364, 0.8500363636363636, 0.8505636363636363, 0.8512909090909092]",0.5041850814880547,0.8896000000000001
100,0.001,0.4,47.158520460128784,"[2.3154360104142233, 1.9763031539415443, 1.7226315403638344, 1.5291914878576187, 1.3799756641720202, 1.2631847686978586, 1.170188432840701, 1.09483845639622, 1.0327222929189368, 0.9807141058665969, 0.93655407432683, 0.8985833926077156, 0.8655780562166664, 0.836614521228381, 0.8109607635558429, 0.7880837511547235, 0.7675247689360001, 0.7489451613087991, 0.7320606613939963, 0.7166374291811097, 0.7024896328714708, 0.6894532589089691, 0.6773987095918124, 0.6662127521598529, 0.655802402451844, 0.6460830522305689, 0.6369868487055276, 0.6284504344073982, 0.6204210484483378, 0.6128521732561171, 0.605704160751929, 0.5989398127190971, 0.5925283438918166, 0.5864395047107539, 0.5806470060689795, 0.5751306587257644, 0.5698692527885236, 0.5648440656282794, 0.5600385786658896, 0.5554392069875564, 0.5510274345909066, 0.5467974366199624, 0.54273114984202, 0.5388248288503581, 0.5350633100089464, 0.5314380500900451, 0.5279468953055216, 0.5245757726098009, 0.5213236286748245, 0.518176391408608]","[0.1407818181818182, 0.37432727272727273, 0.5428181818181819, 0.6307636363636364, 0.6836727272727272, 0.7184181818181818, 0.7419818181818182, 0.7595636363636363, 0.7734727272727272, 0.7846363636363636, 0.7939454545454546, 0.8011454545454545, 0.8078000000000001, 0.8132363636363635, 0.8178545454545454, 0.8216363636363636, 0.8258000000000001, 0.8295272727272728, 0.8325090909090909, 0.8350363636363637, 0.8369454545454545, 0.8392181818181819, 0.8412909090909092, 0.8430363636363636, 0.8445636363636363, 0.8462545454545454, 0.8475272727272727, 0.848890909090909, 0.8502181818181819, 0.8515636363636364, 0.8527636363636364, 0.8534363636363637, 0.854509090909091, 0.8554181818181817, 0.8564363636363637, 0.8575090909090909, 0.8583636363636364, 0.8590545454545455, 0.8598727272727272, 0.8605272727272728, 0.8612727272727273, 0.8619818181818183, 0.8625636363636364, 0.8633818181818183, 0.8642181818181818, 0.8649090909090908, 0.8654363636363637, 0.8661818181818183, 0.8667454545454545, 0.8673090909090909]",0.4251532086667561,0.9016
100,0.001,0.5,46.78730034828186,"[2.2999296745371605, 1.8379213232988565, 1.5262437170896985, 1.316182964019248, 1.169662361370391, 1.0630212647337365, 0.9823168676855419, 0.9191682404306026, 0.8683699446356631, 0.8265795773229696, 0.7915387629022772, 0.7616910230894024, 0.7359154370364069, 0.7134149388223018, 0.6935649550147504, 0.6759121706130314, 0.6600802975457017, 0.645807338542474, 0.6328487039800871, 0.6210248745191482, 0.6101824883228713, 0.6002021688964487, 0.590969356136777, 0.5824069410311011, 0.574438242643295, 0.5669930410242252, 0.5600264896724592, 0.553484434414572, 0.5473297269435757, 0.5415231730281849, 0.5360367482739358, 0.5308429128868455, 0.5259165663857444, 0.5212296958190857, 0.5167728943878372, 0.5125236071761977, 0.508467102314536, 0.5045880036555523, 0.5008751453802314, 0.49731855041669903, 0.49390399986379013, 0.4906253384040627, 0.4874730850745522, 0.48443926131176174, 0.48151870912564504, 0.4787025660770006, 0.4759831386226781, 0.4733549402496967, 0.470815888648873, 0.468363163936882]","[0.15945454545454546, 0.4513090909090909, 0.6322545454545455, 0.7110727272727273, 0.7500363636363636, 0.7742363636363637, 0.7900727272727273, 0.8017454545454546, 0.8106363636363637, 0.8179636363636363, 0.8236, 0.8279090909090909, 0.832309090909091, 0.835690909090909, 0.8393454545454545, 0.8417636363636364, 0.8443636363636363, 0.846909090909091, 0.8491636363636365, 0.8512727272727273, 0.8531272727272727, 0.8544545454545456, 0.8557636363636364, 0.8567818181818181, 0.8580545454545454, 0.8595272727272727, 0.8605272727272727, 0.8618363636363636, 0.8629272727272728, 0.8638363636363636, 0.8646363636363636, 0.8654727272727273, 0.8666, 0.8675272727272727, 0.8682, 0.8689818181818183, 0.8697090909090909, 0.8704181818181819, 0.8713818181818181, 0.871909090909091, 0.8724000000000001, 0.8729636363636363, 0.8736727272727273, 0.8739090909090909, 0.8745090909090909, 0.8752363636363636, 0.8757090909090909, 0.8762727272727272, 0.8768545454545454, 0.8768727272727272]",0.3750071261325243,0.9106000000000001
100,0.001,0.55,45.99408555030823,"[2.0396156526216664, 1.5976457768012147, 1.3302588977818453, 1.1559810988418622, 1.0352149540398776, 0.9471698198890991, 0.8802581692496849, 0.8276981704657673, 0.7852377718022725, 0.7501917258513612, 0.7207270882841684, 0.6955602334394582, 0.673778440877334, 0.6547195644329399, 0.6378784067630596, 0.6228733327770208, 0.6094034754103536, 0.5972213927036311, 0.5861608991203696, 0.5760465158456142, 0.5667602615464079, 0.5582031957406921, 0.5502793212488107, 0.5429182323047061, 0.5360539243856086, 0.5296422183615221, 0.5236292353822881, 0.5179770616888567, 0.512652411246869, 0.5076264198815309, 0.5028728470828147, 0.49836710776750887, 0.4940863254407025, 0.49001742027914463, 0.48613512943380266, 0.4824396783964521, 0.4789045738110593, 0.47551955989545147, 0.47228240779126635, 0.46917256276631014, 0.4661880307582789, 0.46332330631757807, 0.46056420467935066, 0.45790428964832625, 0.4553438440711163, 0.45287462852996363, 0.4504867567815469, 0.44818210084136545, 0.4459527278490506, 0.44379221301584926]","[0.3090545454545454, 0.5726363636363637, 0.6778909090909091, 0.7308727272727273, 0.7633636363636364, 0.7851454545454545, 0.8001272727272728, 0.8103818181818181, 0.8182727272727273, 0.825490909090909, 0.8307090909090908, 0.835, 0.8388363636363637, 0.8423454545454545, 0.8458, 0.8482727272727272, 0.8508181818181819, 0.8531636363636363, 0.8547818181818182, 0.8566545454545454, 0.8584727272727272, 0.8596363636363636, 0.8612, 0.8624181818181819, 0.8637818181818182, 0.8652727272727272, 0.8664, 0.8675272727272727, 0.8682, 0.8692363636363636, 0.8700363636363636, 0.8709636363636364, 0.8716363636363635, 0.8725636363636363, 0.8732727272727273, 0.8740181818181818, 0.8747636363636364, 0.8756363636363637, 0.8761454545454546, 0.8766, 0.8771090909090908, 0.877381818181818, 0.877909090909091, 0.8784363636363636, 0.8788727272727272, 0.8794000000000001, 0.8801636363636364, 0.8806181818181819, 0.8809272727272727, 0.8812727272727272]",0.3571331490336203,0.909
100,0.001,0.6,45.58080434799194,"[2.1043772757607195, 1.559034145621997, 1.2681368079011763, 1.0917323623606305, 0.974506648169585, 0.890978440768182, 0.8282286480218555, 0.7792341197837083, 0.7397887802163955, 0.7072696700764691, 0.6799675012398055, 0.6566532483205014, 0.6364807570976998, 0.6188366248949693, 0.6032473189747681, 0.5893705671273018, 0.5769126748910338, 0.565649833335384, 0.555427296812052, 0.5460787849234547, 0.5375089865750717, 0.5296020934901644, 0.5222853942248327, 0.5154975106315725, 0.5091659653599118, 0.5032578665629153, 0.49772028921441996, 0.49250736765622494, 0.4876107973951477, 0.482988961860025, 0.4786135368061669, 0.47446780679426886, 0.47053658074826177, 0.46679451177890396, 0.4632330081432373, 0.4598370822078157, 0.4565861878338918, 0.45348433132589533, 0.450507953912728, 0.44766476882395856, 0.444923701585273, 0.4422946245011307, 0.4397698628552205, 0.43733788009418856, 0.4349881418891603, 0.4327235841161382, 0.4305397176863836, 0.4284291272017127, 0.4263894019776221, 0.4244147006544612]","[0.2662909090909091, 0.5978909090909091, 0.7031454545454545, 0.7491272727272726, 0.7758909090909091, 0.7930545454545456, 0.8072363636363636, 0.8169272727272726, 0.824290909090909, 0.8302, 0.8355272727272727, 0.8405818181818182, 0.844709090909091, 0.8483454545454546, 0.8518727272727273, 0.8543636363636363, 0.8567818181818182, 0.8589636363636363, 0.8608363636363636, 0.8622727272727273, 0.8640909090909091, 0.8656909090909091, 0.8667636363636363, 0.8681272727272727, 0.8695454545454545, 0.8708181818181819, 0.8716181818181818, 0.8731272727272726, 0.8737818181818182, 0.8746909090909092, 0.8754545454545455, 0.8763272727272727, 0.876890909090909, 0.8775272727272727, 0.878490909090909, 0.8791454545454545, 0.8798181818181817, 0.8804000000000001, 0.8808, 0.8812363636363637, 0.8819090909090909, 0.8825636363636364, 0.8830545454545455, 0.8835999999999999, 0.8838545454545454, 0.8844909090909091, 0.8848363636363635, 0.8851636363636364, 0.8856909090909091, 0.885909090909091]",0.34057048858003547,0.912
100,0.001,0.7,45.78442740440369,"[1.9339127345445204, 1.3041914461741255, 1.0296708049224934, 0.8822748239905712, 0.7902450670425887, 0.7268760390082107, 0.6802341448245541, 0.6442574926920895, 0.6155453439453019, 0.5919969652371941, 0.572294699165168, 0.5554896860740419, 0.5409764714907181, 0.5282876647090636, 0.5170696699488555, 0.5070513368022741, 0.49807092789871854, 0.489945290490739, 0.48253534550521077, 0.4757632058437727, 0.4695274633068489, 0.46378425692068287, 0.458445379417876, 0.45349100337223863, 0.44886343677091467, 0.4445160620149504, 0.44044259738879454, 0.4366106812530055, 0.43300207002340535, 0.42957804139710726, 0.4263416056495695, 0.4232634568743084, 0.42033378376747926, 0.4175502541027735, 0.4148995000092967, 0.4123541721718045, 0.4099222482142006, 0.40759874732106394, 0.4053692169127481, 0.403224206535913, 0.4011594825519244, 0.3991841800886426, 0.39726755895439647, 0.39542367113244803, 0.39365338240380227, 0.391939264605492, 0.3902652466684001, 0.38867592446817245, 0.3871191031466411, 0.38561536388947937]","[0.3681272727272727, 0.6969454545454545, 0.7739272727272727, 0.8026909090909091, 0.8193272727272727, 0.8306181818181818, 0.8390363636363637, 0.8452000000000001, 0.850090909090909, 0.8540727272727273, 0.8576545454545456, 0.8604, 0.8626363636363636, 0.8647636363636364, 0.8667454545454546, 0.868290909090909, 0.8703636363636363, 0.8717636363636363, 0.8729454545454546, 0.8745454545454545, 0.8759272727272727, 0.8770727272727272, 0.878309090909091, 0.8794909090909091, 0.8803636363636363, 0.8813818181818182, 0.8822545454545455, 0.8832181818181818, 0.8838909090909091, 0.8846909090909091, 0.885290909090909, 0.8858545454545455, 0.8868909090909091, 0.887290909090909, 0.8880545454545454, 0.8886363636363637, 0.8887999999999999, 0.8894181818181819, 0.8901454545454546, 0.8906727272727273, 0.8910545454545454, 0.8914727272727273, 0.8916909090909091, 0.8921454545454545, 0.8924000000000001, 0.892909090909091, 0.8932909090909092, 0.8936181818181819, 0.8939090909090909, 0.8941454545454545]",0.30713614298887143,0.9206
100,0.001,0.8,46.21427893638611,"[1.723624032962994, 1.0330295654947086, 0.8132733263626887, 0.7059455872238037, 0.640958604776444, 0.5967179153195838, 0.5642279435857029, 0.5392096971431343, 0.51917045104592, 0.5027022606667402, 0.48884046451334184, 0.47700352956203335, 0.4667066487764451, 0.45764133948949626, 0.4496300920384041, 0.4424555180647964, 0.435955705010171, 0.43006642093591724, 0.4246965543342865, 0.41976014809004036, 0.415192681862066, 0.41098570199448176, 0.40703371555033746, 0.40338988943707715, 0.39996164331718936, 0.39675235998130004, 0.3937234409412011, 0.39085530744591196, 0.38817281879455007, 0.38557562320167343, 0.38318137369900535, 0.3808639644600051, 0.37866437716673046, 0.3765749542247297, 0.3745561409702247, 0.37264430453876873, 0.3707824199803076, 0.369043741430585, 0.3673573406764499, 0.3657218091153084, 0.3641521785095531, 0.3626507493449359, 0.36119438692819356, 0.35977160396892816, 0.3584224661005347, 0.3571205008205245, 0.35585016384660056, 0.35461879106403443, 0.35342868462602456, 0.35225887025081315]","[0.4894181818181819, 0.7642727272727273, 0.8123454545454546, 0.8328727272727272, 0.8439272727272727, 0.8517818181818182, 0.8575636363636363, 0.8616, 0.8659454545454545, 0.8688727272727272, 0.8718363636363636, 0.8741636363636364, 0.8763454545454545, 0.8785272727272727, 0.8798727272727271, 0.8812181818181818, 0.8825818181818181, 0.8839272727272727, 0.885290909090909, 0.8863818181818183, 0.8873818181818182, 0.8884181818181818, 0.8894545454545455, 0.8899454545454546, 0.890818181818182, 0.8915454545454546, 0.8922000000000001, 0.8926727272727272, 0.8934909090909091, 0.8945636363636364, 0.8946363636363637, 0.8953272727272726, 0.8958909090909091, 0.8963454545454546, 0.8968363636363637, 0.8972727272727272, 0.8977818181818181, 0.8981454545454546, 0.8984, 0.8988545454545455, 0.8994181818181817, 0.8997272727272728, 0.9001818181818182, 0.9004000000000001, 0.901109090909091, 0.9013636363636364, 0.9019454545454545, 0.9020909090909092, 0.9024181818181818, 0.9028363636363635]",0.2785122999088156,0.927
