mode,batch_size,learning_rate_SGD,momentum,weight_decay,time,loss_validate,acc_validate,acc_validate_float
Euclidean_Sigmoid,10,0.001,0.55,0.0001,202.9923791885376,"[0.23696529033491118, 0.21295889748507354, 0.20282225803356999, 0.19663811241097273, 0.19210246590126442, 0.18837193732170993, 0.1850543802671716, 0.1819367307252787, 0.17889065609563154, 0.1758354532148896, 0.17272243839349397, 0.16952712431185085, 0.16624339288152387, 0.16287811062279506, 0.15944668823536745, 0.1559700726880684, 0.15247287240967342, 0.14898198733887502, 0.145525296973995, 0.1421302440787979]","[0.8358000000000001, 0.8702000000000001, 0.8794000000000001, 0.8850000000000001, 0.8890000000000001, 0.8900000000000001, 0.8908, 0.8914000000000001, 0.894, 0.8956000000000002, 0.8976000000000002, 0.8986000000000002, 0.9002000000000001, 0.9016000000000002, 0.9030000000000001, 0.9050000000000001, 0.9054000000000001, 0.9078000000000002, 0.9102, 0.9126000000000002]",0.8931600000000002
Euclidean_ReLU,10,0.001,0.99,0.0001,202.8655505180359,"[0.07850324827173032, 0.06918276771896614, 0.0646551939614639, 0.06149300629481207, 0.059282461764768674, 0.058087912981428944, 0.056733615576242624, 0.05560319050232731, 0.05521553355913593, 0.054488477914275205, 0.053796353959169464, 0.05321200238086639, 0.05261211404139425, 0.05133377466842185, 0.05065419561863857, 0.05038297245195262, 0.05016424768707144, 0.049271066237766586, 0.048999555023461865, 0.048700928957284687]","[0.9466, 0.9546, 0.9596000000000001, 0.9642000000000001, 0.9660000000000001, 0.9670000000000001, 0.9666, 0.9686, 0.9678, 0.968, 0.9694, 0.969, 0.97, 0.9704, 0.9716, 0.9718000000000001, 0.9728, 0.9734, 0.9736, 0.974]",0.9672500000000003
CrossEntropy_Sigmoid,10,0.001,0.55,1e-05,220.17204356193542,"[0.8776581632144806, 0.5738326347256689, 0.4577653088501993, 0.39708852162175295, 0.35989919872260406, 0.33475942533260195, 0.3165726227599098, 0.30273917540965123, 0.2918021480442776, 0.28288521017819823, 0.2754310754566557, 0.26906893309715285, 0.2635426105253806, 0.25866946851538897, 0.254315781263261, 0.25038139887575733, 0.2467898587643456, 0.24348181435326063, 0.24041054968105016, 0.23753884382668275]","[0.8642000000000002, 0.8942, 0.905, 0.9134, 0.9180000000000001, 0.9208000000000001, 0.9236000000000001, 0.9238000000000001, 0.9260000000000002, 0.927, 0.9286000000000001, 0.93, 0.931, 0.9324000000000001, 0.9324000000000001, 0.9326000000000001, 0.9338, 0.9342, 0.935, 0.9356]",0.92208
CrossEntropy_ReLU,10,0.001,0.99,1e-05,213.9033236503601,"[0.12273972706776996, 0.09220356944746999, 0.07996819265952085, 0.07491697996885438, 0.07038913685916103, 0.07682337376636175, 0.07999849685800199, 0.07857068363725157, 0.07708743788953669, 0.07073254178644212, 0.06928210144108878, 0.06617123312948564, 0.06602708786257432, 0.06470424997961803, 0.06375185812337486, 0.06330382764402985, 0.0630285784821842, 0.06311924515323307, 0.06298342643470826, 0.06291413887281964]","[0.9658000000000001, 0.971, 0.9770000000000001, 0.9798000000000001, 0.9803999999999999, 0.9796, 0.9784, 0.9802000000000001, 0.9804, 0.9822000000000001, 0.9836, 0.9854, 0.9848, 0.9848000000000001, 0.9848000000000001, 0.9856000000000001, 0.9854, 0.9854, 0.9854, 0.9852000000000001]",0.9812599999999998
Euclidean_Sigmoid,50,0.001,0.55,0.0001,84.20545840263367,"[0.33334949700556904, 0.28014550534958116, 0.256591539046924, 0.24291426694379048, 0.23377472141096253, 0.22712429553866734, 0.2220040976224174, 0.21790053331059947, 0.21451078764948778, 0.2116433380248137, 0.20917047299715746, 0.20700345003490028, 0.2050785269897922, 0.2033486464026577, 0.2017782522116027, 0.2003399348440502, 0.19901219032525197, 0.19777788297512613, 0.19662316623655812, 0.19553670973225487]","[0.6496, 0.7664, 0.8048000000000001, 0.8263999999999999, 0.8376000000000002, 0.8446000000000001, 0.8498, 0.8548, 0.8588, 0.8617999999999999, 0.8649999999999999, 0.8682000000000001, 0.8702, 0.8726, 0.8734000000000002, 0.8756000000000002, 0.8766000000000002, 0.8774000000000001, 0.8788000000000001, 0.8800000000000001]",0.8446199999999999
Euclidean_ReLU,50,0.001,0.99,0.0001,103.40495777130127,"[0.09226160089623736, 0.07735723972868697, 0.07154691635559417, 0.0678859841559592, 0.06502451006644139, 0.06263523964091149, 0.060605597346117826, 0.05914812501868453, 0.057891453120179515, 0.0568816173438306, 0.05602932596288532, 0.05522284877221165, 0.054562534647633436, 0.05395106661705519, 0.05343273883213118, 0.05291779004514819, 0.052476142814561484, 0.05213291992957045, 0.05176446866768062, 0.051425333457492714]","[0.9314, 0.9450000000000002, 0.9480000000000001, 0.9508000000000001, 0.9538000000000001, 0.9556, 0.9575999999999999, 0.9586, 0.9597999999999999, 0.961, 0.9618000000000001, 0.963, 0.9641999999999998, 0.9645999999999998, 0.9652, 0.9659999999999997, 0.9667999999999999, 0.9667999999999999, 0.9669999999999999, 0.9675999999999998]",0.9587299999999999
CrossEntropy_Sigmoid,50,0.001,0.55,1e-05,106.53100371360779,"[1.832304787036741, 1.461818502020953, 1.2039021658008202, 1.022841941594907, 0.8925802258603781, 0.795992703711444, 0.7222009780578602, 0.664279693265875, 0.617735613863065, 0.5795769403426199, 0.5477556402091761, 0.5208314348347629, 0.4977657209583169, 0.4777922616723124, 0.46033404351029134, 0.444948507224064, 0.43129062357422193, 0.4190874521342469, 0.40812025378490235, 0.39821167681114583]","[0.6298, 0.7616000000000003, 0.8164, 0.8456, 0.8613999999999998, 0.8726, 0.8802000000000001, 0.8840000000000002, 0.8898000000000001, 0.8910000000000001, 0.8942000000000001, 0.8966, 0.8987999999999999, 0.9009999999999999, 0.9022000000000001, 0.9044, 0.9056000000000001, 0.9072000000000001, 0.9084, 0.9097999999999999]",0.8680299999999999
CrossEntropy_ReLU,50,0.001,0.99,1e-05,110.08309745788574,"[0.17114324509297812, 0.12833095406247166, 0.10841100104412067, 0.09749043129683878, 0.09034671066795688, 0.08540479350032394, 0.08172119108111536, 0.07922571900245629, 0.07765488768190121, 0.07691166939683831, 0.0766058175229564, 0.07668459459828363, 0.07632026560537485, 0.07550202279478313, 0.07463460613480583, 0.07409458376047805, 0.07339843073593667, 0.07261654481672389, 0.07193890261581817, 0.07111427509919938]","[0.9540000000000001, 0.9658, 0.97, 0.9723999999999999, 0.9742000000000001, 0.9742000000000001, 0.9753999999999999, 0.9773999999999999, 0.9773999999999999, 0.9768000000000001, 0.9780000000000001, 0.9774, 0.9774, 0.9788, 0.9792000000000001, 0.9788, 0.9786, 0.9788, 0.9793999999999999, 0.9803999999999999]",0.9752199999999999
Euclidean_Sigmoid,100,0.001,0.55,0.0001,86.23036026954651,"[0.4049494244660077, 0.3307651218876163, 0.29683687389536983, 0.27702794827328003, 0.2637888148615287, 0.25416992820938433, 0.2467841492798958, 0.2408903397022274, 0.23605302956004376, 0.23199683656978692, 0.22853730500881922, 0.22554518104426063, 0.22292661864087304, 0.22061153253089613, 0.2185463815469182, 0.21668949564453827, 0.215007935394551, 0.2134753146132912, 0.21207025095164606, 0.21077523901698747]","[0.46959999999999996, 0.6522, 0.73, 0.7713999999999999, 0.7946000000000001, 0.815, 0.8236, 0.8326, 0.8416, 0.8486, 0.8523999999999999, 0.8556, 0.8590000000000002, 0.8593999999999999, 0.863, 0.8648, 0.8662000000000001, 0.8672, 0.8677999999999999, 0.8692]",0.8101899999999999
Euclidean_ReLU,100,0.001,0.99,0.0001,86.71968841552734,"[0.1452353369806154, 0.10322973457606605, 0.0931369379480213, 0.08674599759302763, 0.08259422262943314, 0.07958479553123649, 0.07725620557121247, 0.07507053288563327, 0.07307132474160705, 0.07138036327340781, 0.06988649999747218, 0.06854944626120624, 0.0672803539615836, 0.06608993003577718, 0.06491893691721483, 0.06396195184252312, 0.0631075033700082, 0.062440075188013096, 0.061812813569511925, 0.06128248691953225]","[0.8859999999999999, 0.9181999999999999, 0.9326000000000002, 0.9366, 0.9396000000000001, 0.9422, 0.9434000000000001, 0.9441999999999999, 0.9456, 0.946, 0.946, 0.9483999999999999, 0.949, 0.9505999999999999, 0.9514000000000001, 0.9534, 0.9542, 0.9546000000000001, 0.9544, 0.9561999999999999]",0.94263
