mode,batch_size,learning_rate_SGD,momentum,weight_decay,time,loss_validate,acc_validate,acc_validate_float
Euclidean_Sigmoid,100,0.0005,0.55,0.1,42.096601724624634,"[0.4914428218448918, 0.39959506525217914, 0.3525848672924503, 0.3254644346300835, 0.3088373094173953, 0.2984578251298143, 0.29211833543988414, 0.28854438458633475, 0.2869408360152277, 0.28678138922871976, 0.2877010067249083, 0.2894365854291734, 0.2917922460556815, 0.2946180761214893, 0.2977966396835499, 0.30123416849960355, 0.3048546701250899, 0.3085958988315878, 0.3124065371207613, 0.3162441733439227]","[0.2724, 0.472, 0.6004, 0.672, 0.7172000000000002, 0.7469999999999999, 0.7702000000000001, 0.7875999999999999, 0.7959999999999999, 0.8024000000000001, 0.809, 0.815, 0.8173999999999998, 0.8182, 0.8194, 0.8204, 0.8204, 0.8214, 0.8203999999999999, 0.8186]",0.7408699999999999
Euclidean_ReLU,100,0.0005,0.99,0.1,47.70453238487244,"[0.24047787080862879, 0.2166288237172462, 0.21165788046529874, 0.21003279746173623, 0.20928266393758352, 0.20880559998404524, 0.20849731238791772, 0.20827033555917654, 0.20808545327895478, 0.20794817958566308, 0.2078232904146783, 0.20772307572506482, 0.2076276077798385, 0.20752910434006724, 0.20743536897996698, 0.2073559255656777, 0.20729402536232044, 0.20723214395946365, 0.20719136389772264, 0.20715642303717594]","[0.7859999999999999, 0.8183999999999999, 0.8394000000000001, 0.8432000000000001, 0.8443999999999999, 0.8464, 0.8458, 0.8462000000000001, 0.8468000000000001, 0.8474, 0.8474, 0.8476, 0.8478, 0.848, 0.848, 0.848, 0.8482000000000001, 0.848, 0.8482, 0.8483999999999999]",0.8421800000000002
CrossEntropy_Sigmoid,100,0.0005,0.55,0.1,83.35821676254272,"[2.212622054769259, 2.109718028883581, 2.036575962728622, 1.982744017885604, 1.9433223694400028, 1.91474572411421, 1.8943895024280628, 1.8802998635771107, 1.8710053908435882, 1.8653863818667469, 1.8625832041410582, 1.86193111732954, 1.8629131996816792, 1.8651258266858355, 1.868252986985749, 1.8720469203844334, 1.8763133509299201, 1.8809001107699674, 1.8856883013040373, 1.8905853769575516]","[0.2292, 0.47820000000000007, 0.583, 0.6286, 0.6557999999999999, 0.6744000000000001, 0.689, 0.6969999999999998, 0.7044000000000001, 0.7083999999999999, 0.7121999999999999, 0.714, 0.714, 0.7141999999999998, 0.7132, 0.7116, 0.7088000000000001, 0.7070000000000001, 0.7045999999999999, 0.7021999999999998]",0.6574899999999999
CrossEntropy_ReLU,100,0.0005,0.99,0.1,42.69983625411987,"[0.813166220546415, 0.7830218922774967, 0.7773202554902773, 0.7737800233295138, 0.7712129111904015, 0.7692970817081961, 0.7678125932035765, 0.7665941193114978, 0.765656443293139, 0.7648890414078366, 0.7642068847761846, 0.7636099910941847, 0.7631276780852427, 0.7627385700886216, 0.7623785633784377, 0.7620622902795077, 0.7617830738886091, 0.7615322978592097, 0.7613039444811754, 0.7611057307595996]","[0.8813999999999999, 0.8876000000000001, 0.8858, 0.8858, 0.8852, 0.8852000000000001, 0.884, 0.8816000000000002, 0.8814, 0.8810000000000001, 0.8810000000000001, 0.8804000000000001, 0.8802, 0.8802, 0.8802, 0.8795999999999999, 0.8798, 0.8802, 0.8794, 0.8798]",0.88199
Euclidean_Sigmoid,100,0.001,0.55,0.1,55.676047563552856,"[0.39311269810378996, 0.32568242532731645, 0.3010578997991536, 0.29231373585017023, 0.2911210253035421, 0.2940001828733734, 0.29919129132492306, 0.30567949350205975, 0.31282491102192117, 0.32020240941065276, 0.3275244139846527, 0.3345991368420389, 0.3413046843491119, 0.3475708335035681, 0.3533650957438171, 0.3586817152533893, 0.3635330217895789, 0.36794279535034496, 0.37194134275572194, 0.3755619843256018]","[0.4778, 0.6592, 0.735, 0.7709999999999999, 0.7869999999999999, 0.7987999999999998, 0.8031999999999999, 0.8058, 0.8059999999999999, 0.804, 0.8009999999999999, 0.7976000000000001, 0.791, 0.7853999999999999, 0.7782000000000001, 0.769, 0.757, 0.7479999999999998, 0.7414000000000001, 0.7311999999999997]",0.7573799999999998
Euclidean_ReLU,100,0.001,0.99,0.1,84.71904587745667,"[0.22165937413291115, 0.21279213983248396, 0.21036453016354617, 0.20920563039499065, 0.20858376192319583, 0.20816650895848718, 0.20786641772823586, 0.20758479345279235, 0.20736304932841612, 0.20717952909665244, 0.20709914995545387, 0.2070484324344453, 0.207011155069806, 0.2069887711209411, 0.20695562022462843, 0.20694714788706775, 0.2069218645902927, 0.2069194398795402, 0.20688440718770099, 0.2068913380854287]","[0.8058, 0.8432, 0.8462000000000001, 0.8478, 0.8493999999999999, 0.8502, 0.8512000000000001, 0.8514, 0.8510000000000001, 0.8514, 0.8514, 0.851, 0.8514, 0.8514, 0.8512000000000001, 0.8514, 0.8514, 0.8513999999999998, 0.8515999999999999, 0.8514]",0.84806
CrossEntropy_Sigmoid,100,0.001,0.55,0.1,64.32076835632324,"[2.0718474211961104, 1.9576745433813876, 1.8966103493077824, 1.8662841421648864, 1.8540644757979095, 1.8525205196286527, 1.8571575308620751, 1.8652143615029728, 1.8749867807867135, 1.8854283968458725, 1.8959071012557813, 1.9060529344501598, 1.915661638618067, 1.9246329823392594, 1.932931157940245, 1.940559339405138, 1.947543383701516, 1.9539214566671563, 1.9597375023730887, 1.9650372037744837]","[0.49860000000000004, 0.6481999999999999, 0.7098, 0.7366000000000001, 0.7502, 0.7530000000000002, 0.7495999999999999, 0.7456, 0.7390000000000001, 0.7295999999999998, 0.7193999999999998, 0.7075999999999999, 0.6956, 0.6796, 0.6653999999999999, 0.6541999999999999, 0.6416, 0.6296, 0.6156, 0.6064]",0.68376
CrossEntropy_ReLU,100,0.001,0.99,0.1,85.60781335830688,"[0.7866840359214984, 0.7841500179240483, 0.777917802928298, 0.7748812875883431, 0.7728430918932261, 0.7713661977737891, 0.770224879226948, 0.769343996718145, 0.7685999327325236, 0.7680315392239051, 0.7675483798011947, 0.7670944414038675, 0.7667344106388674, 0.7664370720733205, 0.7661782459107548, 0.7659427564111603, 0.7657238064460214, 0.7655218478037581, 0.7653164285898723, 0.7651565657606747]","[0.8876000000000002, 0.8867999999999999, 0.8884000000000001, 0.8862000000000001, 0.8852000000000001, 0.8865999999999999, 0.8856, 0.885, 0.8848, 0.8832000000000001, 0.8833999999999999, 0.883, 0.8822000000000001, 0.8822, 0.8826, 0.8832000000000001, 0.8832000000000001, 0.8826, 0.8828, 0.8828]",0.88437
Euclidean_Sigmoid,100,0.002,0.55,0.1,69.52746248245239,"[0.33403575187280476, 0.29639777143887264, 0.2965703369007962, 0.3075567611650605, 0.32165197055339995, 0.3357236684207723, 0.34843149757327346, 0.35933056913326106, 0.36842642077840865, 0.3759195564465436, 0.3820668721853791, 0.3871160985478208, 0.39128101183274017, 0.39473656800159057, 0.3976223076479799, 0.4000482928914478, 0.40210109425590473, 0.40384894424007983, 0.4053458788576335, 0.40663495799916677]","[0.6318, 0.7574, 0.7931999999999999, 0.7994, 0.7962, 0.7880000000000001, 0.7719999999999999, 0.7514, 0.73, 0.7133999999999999, 0.6914000000000001, 0.6718000000000001, 0.6569999999999999, 0.6418, 0.6300000000000001, 0.6172, 0.6063999999999999, 0.5934, 0.5828, 0.5748000000000001]",0.6899700000000001
Euclidean_ReLU,100,0.002,0.99,0.1,86.64375829696655,"[0.21305107595462974, 0.20916735914071669, 0.20887299345619031, 0.20860421254182693, 0.20839682300389092, 0.2083478807455058, 0.20825256834098183, 0.20822031195873847, 0.20813469020452327, 0.20809878832052045, 0.20805047274164973, 0.20802019413993644, 0.20798382464937737, 0.2079604240294431, 0.20792986064832955, 0.20791389354243262, 0.20789592228319734, 0.207877940264083, 0.2078773614484677, 0.20786697439391005]","[0.8211999999999999, 0.8492000000000002, 0.8486, 0.8487999999999998, 0.8481999999999998, 0.8479999999999999, 0.8485999999999998, 0.8492000000000001, 0.8488, 0.8486, 0.8489999999999999, 0.8489999999999999, 0.8492000000000001, 0.8492000000000001, 0.8491999999999998, 0.8496000000000001, 0.8496000000000001, 0.8496000000000001, 0.8493999999999999, 0.8493999999999999]",0.84762
