mode,batch_size,learning_rate_SGD,momentum,weight_decay,time,loss_validate,acc_validate,acc_validate_float
Euclidean_Sigmoid,100,0.001,0.0,0.1,42.07490873336792,"[0.5193544682084369, 0.4167396770427404, 0.3640740288063952, 0.33354206874693376, 0.31454674192102394, 0.3023217869769036, 0.2944240566750755, 0.2894675183847282, 0.2866018613404895, 0.28527267454790467, 0.28510053726406104, 0.2858152911859273, 0.2872180529547026, 0.2891581466115519, 0.2915185289443634, 0.2942062832599802, 0.29714625804139116, 0.3002767194009152, 0.3035463253666646, 0.3069119841404685]","[0.2218, 0.4354, 0.5536, 0.6236, 0.6698000000000001, 0.7080000000000001, 0.7382, 0.7631999999999998, 0.7797999999999999, 0.79, 0.7982, 0.806, 0.8104, 0.8133999999999999, 0.8148000000000001, 0.8148000000000002, 0.8166, 0.8173999999999999, 0.8168, 0.8179999999999998]",0.72049
Euclidean_ReLU,100,0.001,0.0,0.1,41.93551301956177,"[0.6066053231156066, 0.43967822092945325, 0.36042036844928454, 0.3131836043229286, 0.2820288507499796, 0.26014102065112793, 0.24412022693465826, 0.23207753076051535, 0.22294049843928085, 0.2159496176780625, 0.2106386493627569, 0.20666030210281813, 0.20372679069078312, 0.20159173014284013, 0.20009269696836574, 0.19909594096829786, 0.19853574388675785, 0.19833936213639894, 0.19844703542589323, 0.19876896658802795]","[0.4478000000000001, 0.573, 0.6629999999999999, 0.72, 0.7608, 0.7896, 0.8130000000000002, 0.8295999999999999, 0.8456, 0.8575999999999999, 0.8664000000000001, 0.8750000000000001, 0.8811999999999999, 0.8841999999999999, 0.8876, 0.8879999999999998, 0.8886, 0.889, 0.8884000000000002, 0.8878]",0.8068099999999999
CrossEntropy_Sigmoid,100,0.001,0.0,0.1,42.3849139213562,"[2.2419760239290825, 2.120830066790953, 2.0448619246809105, 1.988122606526937, 1.9453729347659658, 1.9133365439692367, 1.8895990813533623, 1.8723318915198806, 1.8601314758773757, 1.8519095421774576, 1.8468148562267637, 1.8441767352294156, 1.8434635977084333, 1.8442521326413739, 1.846204058767041, 1.8490483848763273, 1.852567713562506, 1.8565875585823293, 1.8609679382053743, 1.8655967087703949]","[0.2084, 0.34559999999999996, 0.5094000000000001, 0.6152000000000001, 0.6620000000000001, 0.6876000000000001, 0.7078, 0.7202, 0.7295999999999999, 0.7354, 0.7384000000000001, 0.7394, 0.7438000000000001, 0.7450000000000001, 0.7444, 0.7428, 0.7422, 0.7401999999999999, 0.7384000000000001, 0.7348]",0.6665300000000001
CrossEntropy_ReLU,100,0.001,0.0,0.1,52.771344900131226,"[1.7287515334418808, 1.316340443397868, 1.0911050603975094, 0.95847599431922, 0.8760810009893738, 0.8230040079440707, 0.7879097994434245, 0.7644962617054998, 0.7488356314096104, 0.738520472375638, 0.732032191245317, 0.7282709007264861, 0.7265002941991319, 0.7262482883583394, 0.7270951394847878, 0.7286863207243399, 0.730824794786703, 0.733322300703162, 0.7360300833892508, 0.7388234710544141]","[0.5094, 0.7232000000000001, 0.7963999999999999, 0.8316000000000001, 0.8548, 0.8692, 0.8762000000000002, 0.8798000000000001, 0.8826000000000002, 0.8862000000000001, 0.8878, 0.8885999999999998, 0.8907999999999998, 0.8917999999999999, 0.8924000000000001, 0.8937999999999999, 0.8947999999999999, 0.8948, 0.8961999999999999, 0.8965999999999998]",0.85185
Euclidean_Sigmoid,100,0.001,0.1,0.1,43.192641258239746,"[0.46882086734492245, 0.3824436766165054, 0.33847477005155946, 0.31348196712614645, 0.29848429335357674, 0.28939779844396624, 0.284103583786076, 0.281385992937844, 0.28049197832620154, 0.28092641934445534, 0.28234786180460364, 0.28451132961972325, 0.2872350672542523, 0.2903802941719292, 0.2938384318461603, 0.29752281257976176, 0.30136316778690203, 0.3053018830841665, 0.30929139599791977, 0.31329234098422776]","[0.3148, 0.5144, 0.6312, 0.6958, 0.7334, 0.7646000000000001, 0.7816000000000001, 0.7957999999999998, 0.8044000000000001, 0.8116, 0.815, 0.819, 0.8206, 0.8218, 0.8238000000000001, 0.8237999999999999, 0.8215999999999998, 0.8211999999999999, 0.8201999999999999, 0.8194]",0.7526999999999999
Euclidean_ReLU,100,0.001,0.1,0.1,46.56296491622925,"[0.6284309608096394, 0.43873470187546787, 0.3528214346030751, 0.3036957733348345, 0.272236594304408, 0.2506923799062125, 0.2353721590464662, 0.2241785684832863, 0.21599258505886443, 0.20999865555802225, 0.20566329072715125, 0.20258357261625792, 0.20047430588376433, 0.1991016599917008, 0.19830430469094118, 0.19796413546764882, 0.19797994620220524, 0.19829351683545224, 0.19886171643640133, 0.19960620356922415]","[0.39699999999999996, 0.5608, 0.6606000000000001, 0.7230000000000001, 0.7727999999999998, 0.8016, 0.8196000000000001, 0.8341999999999998, 0.8483999999999999, 0.8585999999999998, 0.8670000000000002, 0.8730000000000001, 0.8746, 0.8760000000000001, 0.8798, 0.8810000000000001, 0.883, 0.8844000000000001, 0.885, 0.884]",0.8032199999999998
CrossEntropy_Sigmoid,100,0.001,0.1,0.1,85.1731767654419,"[2.2142067795608527, 2.110336441159032, 2.0385960618606322, 1.9853187920204995, 1.9460495319413582, 1.9174368426716146, 1.8969733675856757, 1.8827689536136762, 1.873384440331645, 1.8677141002825441, 1.8649019221110883, 1.8642811889575848, 1.8653302296217669, 1.8676395468492595, 1.8708870696570563, 1.8748192972175712, 1.8792367805753358, 1.8839828440713517, 1.8889347578985325, 1.8939967865334706]","[0.24719999999999998, 0.45199999999999996, 0.5428000000000001, 0.6182, 0.6628000000000001, 0.6878, 0.7086, 0.7229999999999999, 0.7319999999999999, 0.7373999999999999, 0.7402000000000001, 0.7422, 0.7408000000000002, 0.7361999999999999, 0.7341999999999999, 0.7324, 0.7272, 0.7226, 0.7177999999999999, 0.7138]",0.67096
CrossEntropy_ReLU,100,0.001,0.1,0.1,63.942118644714355,"[1.660839475040853, 1.3178145956194982, 1.120160294200631, 0.9973274844857984, 0.9178194554840651, 0.8649400342572807, 0.8292347860928647, 0.8048275235575649, 0.7880823706531346, 0.7767107765202027, 0.7691332629650334, 0.7641965816323208, 0.7611721194222875, 0.7595127815919238, 0.7588428531518762, 0.7589373752447289, 0.7595774840304297, 0.7605861518006048, 0.7618118392871327, 0.7631697757546957]","[0.54, 0.7057999999999999, 0.7761999999999999, 0.8166, 0.8386, 0.8524, 0.8628000000000001, 0.8704000000000001, 0.8754000000000001, 0.8792, 0.8811999999999999, 0.8833999999999999, 0.885, 0.8859999999999999, 0.8882000000000001, 0.8902000000000001, 0.8913999999999999, 0.892, 0.8924, 0.893]",0.8450099999999999
Euclidean_Sigmoid,100,0.001,0.55,0.1,56.57142758369446,"[0.41495263560142653, 0.3354805097896369, 0.30594466092215566, 0.29461737969646085, 0.29191683696478304, 0.2938642197085978, 0.298465363449618, 0.30458344605423704, 0.3115086020271223, 0.31877137565244684, 0.3260535542349032, 0.3331408447598531, 0.3398943445336757, 0.3462309530547624, 0.3521085912727812, 0.3575145590023056, 0.36245634003958055, 0.3669544873781734, 0.37103729026061194, 0.3747369247185624]","[0.38800000000000007, 0.6302, 0.727, 0.7676, 0.7979999999999999, 0.8129999999999998, 0.8194, 0.8210000000000001, 0.8218, 0.8211999999999999, 0.816, 0.8134, 0.8049999999999998, 0.7964, 0.7889999999999999, 0.7811999999999999, 0.7702000000000001, 0.76, 0.748, 0.7362000000000001]",0.76113
Euclidean_ReLU,100,0.001,0.55,0.1,86.55588364601135,"[0.42031232663562174, 0.3000379899107795, 0.25245021257770206, 0.22791299097556045, 0.21397882419385553, 0.20607487700962485, 0.20194189062337858, 0.20026971815949007, 0.2002713031168219, 0.20126022352453138, 0.2027787175833121, 0.20449550414452922, 0.20626144244043693, 0.20804838729351766, 0.2097520879441036, 0.21125988257260175, 0.21254757007297861, 0.21361626873637288, 0.21449214551729467, 0.21519796724482793]","[0.5559999999999999, 0.7240000000000001, 0.8008, 0.841, 0.8612000000000001, 0.8754000000000001, 0.8815999999999998, 0.8857999999999998, 0.8865999999999999, 0.8882000000000001, 0.8859999999999999, 0.885, 0.8850000000000001, 0.8827999999999999, 0.8808, 0.8783999999999998, 0.8759999999999998, 0.8736000000000002, 0.872, 0.871]",0.84956
CrossEntropy_Sigmoid,100,0.001,0.55,0.1,66.10982871055603,"[2.11506918317018, 1.9859282926490542, 1.9162078961589697, 1.8805743569156437, 1.8650011135031443, 1.8612833610636228, 1.8644804831396349, 1.8715654114592644, 1.8806704875984803, 1.8906462927528827, 1.900794371298521, 1.9107012765799285, 1.9201338272278523, 1.9289723166528157, 1.9371676837716276, 1.9447139964885483, 1.9516307986910406, 1.9579518410601677, 1.9637179530891635, 1.9689726019006895]","[0.41100000000000003, 0.6162, 0.69, 0.7192000000000001, 0.7328, 0.7368000000000001, 0.737, 0.7304000000000002, 0.7254, 0.7160000000000001, 0.706, 0.6973999999999999, 0.6873999999999999, 0.6753999999999999, 0.6639999999999999, 0.6524, 0.6378, 0.6252, 0.6148, 0.6052]",0.66902
CrossEntropy_ReLU,100,0.001,0.55,0.1,81.99278211593628,"[1.3300812792308307, 0.9726849778962473, 0.834284590798923, 0.7747926505618691, 0.7486864041638772, 0.7389864595339621, 0.7377814584127882, 0.7407799203968538, 0.7456029520804747, 0.7508990277068517, 0.7559981623033528, 0.7605979663277701, 0.7645554021581892, 0.7678937368944756, 0.770688450946034, 0.7729720656156444, 0.7748029253642233, 0.7762752944947847, 0.7774546240314352, 0.7783849376822249]","[0.7019999999999998, 0.8346000000000001, 0.868, 0.8812000000000001, 0.887, 0.8906000000000001, 0.892, 0.8922000000000001, 0.8918, 0.8932000000000001, 0.8946, 0.8961999999999999, 0.8962, 0.8957999999999999, 0.8952000000000001, 0.8957999999999999, 0.8954000000000001, 0.8958000000000002, 0.8956000000000001, 0.8952000000000001]",0.87942
Euclidean_Sigmoid,100,0.001,0.9,0.1,88.32641434669495,"[0.28946647591604463, 0.3108198537079458, 0.34338650704931667, 0.36749376064092987, 0.38309779703416025, 0.39308561013823257, 0.3996527859424305, 0.4041198688393379, 0.4072558195952064, 0.4095183402472981, 0.41118953580264267, 0.41244944334655087, 0.4134165951508404, 0.41417115877057314, 0.41476862052889685, 0.41524815562905865, 0.41563790638828485, 0.41595840116015964, 0.41622482129064264, 0.4164485351185517]","[0.7834, 0.824, 0.8114, 0.7774, 0.738, 0.6992, 0.6622, 0.6286, 0.5972, 0.5726, 0.5536, 0.5344000000000001, 0.518, 0.5075999999999999, 0.4974, 0.4888, 0.4828, 0.47620000000000007, 0.47119999999999995, 0.46759999999999996]",0.6045799999999999
