mode,batch_size,learning_rate_SGD,momentum,weight_decay,time,loss_validate,acc_validate,acc_validate_float
Euclidean_Sigmoid,100,0.001,0.55,0.1,41.82962608337402,"[0.3995154779990792, 0.3261753784520195, 0.2992004362686174, 0.28942234562092783, 0.2877844774033164, 0.29051071081142077, 0.2957070061550755, 0.30229185575564516, 0.3095889431843847, 0.31715116443803526, 0.32467643710154115, 0.33196271459579807, 0.3388805877500127, 0.34535431820313145, 0.35134748361496443, 0.35685168446135374, 0.3618776531848315, 0.3664483987282607, 0.3705940843712068, 0.3743483409399253]","[0.4716, 0.6672, 0.7506, 0.7864, 0.8074000000000001, 0.8164, 0.8210000000000001, 0.8226, 0.819, 0.8181999999999999, 0.8138, 0.8084, 0.8022, 0.7956, 0.7884, 0.7792, 0.7711999999999999, 0.7603999999999997, 0.7513999999999998, 0.74]",0.76955
Euclidean_ReLU,100,0.001,0.99,0.1,41.920897006988525,"[0.2201554069124244, 0.21051490925963956, 0.20888709758003987, 0.20837189326643632, 0.20807502682330717, 0.20786961088803832, 0.20772980851618844, 0.20763058840031828, 0.20750235053341404, 0.2073823433575007, 0.2073044651181693, 0.20720235901551232, 0.20708470653033267, 0.20699409709049846, 0.20693706328456163, 0.20687370159666837, 0.20681143410624978, 0.2067745561741498, 0.20675782988969843, 0.20672768427137467]","[0.8182, 0.8439999999999999, 0.8491999999999998, 0.8493999999999999, 0.8502000000000001, 0.851, 0.8517999999999999, 0.8522000000000002, 0.852, 0.8525999999999999, 0.8525999999999999, 0.8528, 0.8530000000000001, 0.8530000000000001, 0.853, 0.8526, 0.8526, 0.8526, 0.8530000000000001, 0.8528]",0.84993
CrossEntropy_Sigmoid,100,0.001,0.55,0.1,42.398985147476196,"[2.0799282789475524, 1.9528335114685098, 1.8854103676803624, 1.851986856918905, 1.8383533234072376, 1.8363055828269665, 1.840948106979354, 1.8493007901984797, 1.8595345954176756, 1.8705296562446552, 1.8816095535678272, 1.8923771271962777, 1.9026112127275525, 1.9122009921283316, 1.9211040181720593, 1.9293193286432142, 1.936870255771612, 1.9437934937743326, 1.9501322142647681, 1.9559317995697134]","[0.45799999999999996, 0.6342, 0.6882, 0.7142000000000001, 0.7241999999999998, 0.727, 0.7258, 0.7238, 0.7182000000000001, 0.7100000000000002, 0.7034000000000001, 0.6945999999999999, 0.6853999999999999, 0.6769999999999999, 0.6666, 0.6567999999999999, 0.6454000000000001, 0.6335999999999999, 0.6237999999999999, 0.6112]",0.6710699999999999
CrossEntropy_ReLU,100,0.001,0.99,0.1,52.89356350898743,"[0.7803894738426628, 0.7822880263182782, 0.7777161180885936, 0.7751325509120701, 0.7732113845847217, 0.7716819265063264, 0.7704404282868906, 0.7694720509867274, 0.7687041490686655, 0.7681250595685347, 0.7676541248745061, 0.7672192942434041, 0.766823106125436, 0.7665179150991501, 0.7662298944388436, 0.7659585949947275, 0.7657547720251947, 0.7655618417453127, 0.7654080834219669, 0.7652040515245446]","[0.8870000000000001, 0.8872000000000001, 0.8862000000000001, 0.8854000000000002, 0.8858000000000001, 0.8856, 0.884, 0.884, 0.8839999999999999, 0.8828000000000001, 0.8832000000000001, 0.8833999999999999, 0.8828, 0.8818, 0.8818, 0.882, 0.8820000000000001, 0.882, 0.8822000000000001, 0.8826000000000002]",0.88379
Euclidean_Sigmoid,100,0.001,0.55,0.01,84.25153970718384,"[0.4160145915536109, 0.3324502885901587, 0.2942429839430042, 0.2723084392241218, 0.2579966282072159, 0.24786808902487992, 0.24028639756902245, 0.2343754905312561, 0.22962458291053983, 0.22571558344763784, 0.2224396850043575, 0.21965379679837782, 0.21725630742569144, 0.2151728725341665, 0.21334769976255857, 0.21173799603927818, 0.21031031105830106, 0.20903805951571933, 0.20789979962303196, 0.20687801046971502]","[0.47100000000000003, 0.6606000000000001, 0.7257999999999999, 0.7658000000000001, 0.7916, 0.8066, 0.8195999999999999, 0.8301999999999998, 0.8401999999999998, 0.8457999999999999, 0.8493999999999999, 0.853, 0.8554, 0.8580000000000001, 0.862, 0.8634000000000001, 0.8644, 0.8664000000000002, 0.8674000000000001, 0.8683999999999998]",0.8082499999999999
Euclidean_ReLU,100,0.001,0.99,0.01,43.24041557312012,"[0.11757911384385265, 0.09000380383351414, 0.08404826484652048, 0.08173723332299898, 0.08034039778557457, 0.0793735956286811, 0.078695059628555, 0.07808495365337134, 0.07758503122177325, 0.07717745489206104, 0.07675670067722293, 0.07636914856045192, 0.07606527450166845, 0.07581524528859336, 0.07560125483363322, 0.07537894840785435, 0.07518331550354998, 0.07503686220800945, 0.07490058138268015, 0.07475592756508562]","[0.9091999999999999, 0.9320000000000002, 0.9376000000000001, 0.9400000000000002, 0.9410000000000001, 0.9422, 0.9422000000000001, 0.9440000000000001, 0.9438, 0.9451999999999999, 0.9464, 0.9468000000000001, 0.9472, 0.948, 0.9482, 0.9482, 0.9484, 0.9495999999999999, 0.9498000000000001, 0.9504]",0.9430099999999999
CrossEntropy_Sigmoid,100,0.001,0.55,0.01,64.36353993415833,"[2.015180303023981, 1.7914974403402264, 1.6110313671006948, 1.463595359180677, 1.3419810295076653, 1.2408715291671213, 1.1561919656774564, 1.0847531463473492, 1.024038321394802, 0.9720560001421308, 0.9272278064564052, 0.8882997769734576, 0.8542719814939913, 0.8243431337519287, 0.797867386123641, 0.774320837467457, 0.7532756484130617, 0.7343800401833022, 0.7173428091824701, 0.7019212952294426]","[0.45480000000000004, 0.6365999999999999, 0.7225999999999999, 0.768, 0.7944000000000001, 0.8156, 0.83, 0.8396000000000001, 0.8506, 0.8556, 0.8614, 0.8661999999999999, 0.872, 0.8745999999999999, 0.8784000000000001, 0.8792, 0.8818, 0.8836000000000002, 0.8858, 0.8876000000000001]",0.81692
CrossEntropy_ReLU,100,0.001,0.99,0.01,60.015742778778076,"[0.27511439749298217, 0.2515398981857088, 0.2400225474140676, 0.23304013956838568, 0.22833807483925436, 0.2249116685486077, 0.222421798357131, 0.22048983107031916, 0.21893887795661438, 0.21773356526722337, 0.21655318082558, 0.2156272127580326, 0.21488565766357412, 0.21430032261685436, 0.21367154252253165, 0.2131838443572339, 0.21281662718436123, 0.2124589466839288, 0.21211657356005034, 0.21183185825806664]","[0.9308000000000001, 0.9416, 0.9472000000000002, 0.9492, 0.9514, 0.9533999999999999, 0.9544, 0.9551999999999999, 0.9551999999999999, 0.955, 0.956, 0.9561999999999999, 0.9565999999999998, 0.9567999999999999, 0.9570000000000001, 0.9573999999999999, 0.958, 0.9586, 0.9590000000000001, 0.9590000000000001]",0.9533999999999999
Euclidean_Sigmoid,100,0.001,0.55,0.001,65.42557954788208,"[0.39836481136813817, 0.3307370945878176, 0.2980152890876214, 0.2781990367166723, 0.2646980899580247, 0.2548183418304403, 0.2472230148299957, 0.24116575739269674, 0.2361958744136215, 0.23202503205665542, 0.2284601417688346, 0.22536692603034583, 0.22264898220703064, 0.2202351872391159, 0.21807182128398764, 0.21611747423479602, 0.2143396529805067, 0.21271246125191307, 0.2112149751695965, 0.20983008160564853]","[0.5067999999999999, 0.6606000000000001, 0.7288, 0.7631999999999999, 0.7827999999999998, 0.8001999999999999, 0.815, 0.8256, 0.8336, 0.8408, 0.8468000000000001, 0.8518000000000001, 0.8542000000000001, 0.8576, 0.8592000000000002, 0.8612000000000001, 0.8628000000000001, 0.8644000000000002, 0.8654000000000001, 0.8664000000000001]",0.8073599999999999
Euclidean_ReLU,100,0.001,0.99,0.001,86.52557039260864,"[0.13042195668680456, 0.09375013764007312, 0.08442635730285772, 0.07882195286531729, 0.07489639634564163, 0.07192114605294533, 0.06965007966832566, 0.0677229621941669, 0.06606975527191569, 0.06456157140517535, 0.06310538765018803, 0.06176304674949122, 0.06061716632504969, 0.05956327046174352, 0.05860621677098746, 0.05779779405961295, 0.05704985950685365, 0.05642032935506039, 0.055896020327817285, 0.05535505103829502]","[0.8944, 0.9232, 0.9342, 0.9403999999999999, 0.9435999999999999, 0.9454, 0.9486, 0.9514, 0.9538, 0.9556, 0.9563999999999999, 0.9567999999999999, 0.9581999999999999, 0.9590000000000001, 0.9597999999999999, 0.9603999999999999, 0.9607999999999999, 0.9619999999999999, 0.9625999999999999, 0.9636]",0.9495099999999997
