mode,layer_count,epoch,batch_size,active_function,loss_function,optimizer_function,lr,weight_decay,time,loss_train,loss_validate,acc_train,acc_validate,acc_test,remark
MLP,2,1,16,ReLU,CrossEntropyLoss,SGD,0.001,0.0001,25.5593740940094,1.8209493478775025,1.764269711494446,0.33705,0.3735,0,"num_neurons:[512, 128]"
MLP,2,2,16,ReLU,CrossEntropyLoss,SGD,0.001,0.0001,24.789648294448853,1.664621878695488,1.6765309732437135,0.40285,0.3983,0,"num_neurons:[512, 128]"
MLP,2,3,16,ReLU,CrossEntropyLoss,SGD,0.001,0.0001,24.565261840820312,1.6039039068222045,1.6147390858650208,0.4231,0.4213,0,"num_neurons:[512, 128]"
MLP,2,4,16,ReLU,CrossEntropyLoss,SGD,0.001,0.0001,24.598345279693604,1.5610650224924087,1.590636685371399,0.436925,0.4326,0,"num_neurons:[512, 128]"
MLP,2,5,16,ReLU,CrossEntropyLoss,SGD,0.001,0.0001,24.600079774856567,1.5334306974172591,1.5536950337409974,0.44835,0.4454,0,"num_neurons:[512, 128]"
MLP,2,6,16,ReLU,CrossEntropyLoss,SGD,0.0005,0.0001,24.56131625175476,1.448958909344673,1.4740573937416077,0.479,0.4759,0,"num_neurons:[512, 128]"
MLP,2,7,16,ReLU,CrossEntropyLoss,SGD,0.0005,0.0001,24.55539345741272,1.4198853067874908,1.4809796397209167,0.490275,0.4723,0,"num_neurons:[512, 128]"
MLP,2,8,16,ReLU,CrossEntropyLoss,SGD,0.0005,0.0001,24.822919845581055,1.403049990940094,1.4541088337898254,0.49795,0.4746,0,"num_neurons:[512, 128]"
MLP,2,9,16,ReLU,CrossEntropyLoss,SGD,0.0005,0.0001,24.907669067382812,1.3927617615699768,1.4447988957405091,0.499675,0.4842,0,"num_neurons:[512, 128]"
MLP,2,10,16,ReLU,CrossEntropyLoss,SGD,0.0005,0.0001,24.727900505065918,1.3811518721580505,1.4322830541610718,0.50585,0.4867,0,"num_neurons:[512, 128]"
MLP,2,11,16,ReLU,CrossEntropyLoss,SGD,0.00025,0.0001,24.847208976745605,1.336897263431549,1.3991782054901123,0.5202,0.5008,0,"num_neurons:[512, 128]"
MLP,2,12,16,ReLU,CrossEntropyLoss,SGD,0.00025,0.0001,24.642735719680786,1.3195240231752396,1.380743534564972,0.52705,0.5119,0,"num_neurons:[512, 128]"
MLP,2,13,16,ReLU,CrossEntropyLoss,SGD,0.00025,0.0001,25.260276079177856,1.311112031030655,1.3849975900650024,0.530575,0.5103,0,"num_neurons:[512, 128]"
MLP,2,14,16,ReLU,CrossEntropyLoss,SGD,0.00025,0.0001,25.412431240081787,1.3004832834482194,1.3916541226387025,0.534125,0.5089,0,"num_neurons:[512, 128]"
MLP,2,15,16,ReLU,CrossEntropyLoss,SGD,0.00025,0.0001,25.602386713027954,1.2952882239580155,1.3772661170005798,0.53445,0.5094,0,"num_neurons:[512, 128]"
MLP,2,16,16,ReLU,CrossEntropyLoss,SGD,0.000125,0.0001,25.554407596588135,1.2654532171964645,1.3540573893547059,0.546075,0.5276,0,"num_neurons:[512, 128]"
MLP,2,17,16,ReLU,CrossEntropyLoss,SGD,0.000125,0.0001,25.428847551345825,1.2634641174554826,1.347650791168213,0.547825,0.5222,0,"num_neurons:[512, 128]"
MLP,2,18,16,ReLU,CrossEntropyLoss,SGD,0.000125,0.0001,25.494106769561768,1.2562814724445344,1.3424615260124206,0.549175,0.5223,0,"num_neurons:[512, 128]"
MLP,2,19,16,ReLU,CrossEntropyLoss,SGD,0.000125,0.0001,25.51925754547119,1.2522226805448533,1.339963227558136,0.551075,0.5283,0,"num_neurons:[512, 128]"
MLP,2,20,16,ReLU,CrossEntropyLoss,SGD,0.000125,0.0001,25.50482702255249,1.2464058958292008,1.335829139661789,0.5524,0.5283,0,"num_neurons:[512, 128]"
MLP,2,21,16,ReLU,CrossEntropyLoss,SGD,6.25e-05,0.0001,24.568913221359253,1.236821352136135,1.3255617471694947,0.5577,0.531,0,"num_neurons:[512, 128]"
MLP,2,22,16,ReLU,CrossEntropyLoss,SGD,6.25e-05,0.0001,25.25355291366577,1.2280227838635445,1.330020062637329,0.55955,0.5235,0,"num_neurons:[512, 128]"
MLP,2,23,16,ReLU,CrossEntropyLoss,SGD,6.25e-05,0.0001,24.550283432006836,1.2273280060768128,1.3207591877937317,0.5606,0.5299,0,"num_neurons:[512, 128]"
MLP,2,24,16,ReLU,CrossEntropyLoss,SGD,6.25e-05,0.0001,24.65172052383423,1.2225588209867477,1.3148310092926025,0.562675,0.5309,0,"num_neurons:[512, 128]"
MLP,2,25,16,ReLU,CrossEntropyLoss,SGD,6.25e-05,0.0001,25.001065492630005,1.2240356883764267,1.323805542087555,0.56105,0.5274,0,"num_neurons:[512, 128]"
MLP,2,26,16,ReLU,CrossEntropyLoss,SGD,3.125e-05,0.0001,25.436363458633423,1.2126841991186141,1.3109282050132751,0.56495,0.5371,0,"num_neurons:[512, 128]"
MLP,2,27,16,ReLU,CrossEntropyLoss,SGD,3.125e-05,0.0001,25.134637594223022,1.2097226952195168,1.3140124878883361,0.565975,0.5361,0,"num_neurons:[512, 128]"
MLP,2,28,16,ReLU,CrossEntropyLoss,SGD,3.125e-05,0.0001,24.69516110420227,1.209997947192192,1.3242714489936829,0.565775,0.5341,0,"num_neurons:[512, 128]"
MLP,2,29,16,ReLU,CrossEntropyLoss,SGD,3.125e-05,0.0001,24.5428147315979,1.2051235631346702,1.3116956076622008,0.567925,0.5386,0,"num_neurons:[512, 128]"
MLP,2,30,16,ReLU,CrossEntropyLoss,SGD,3.125e-05,0.0001,24.798990488052368,1.2053572872757912,1.3149506880760193,0.569125,0.5343,0,"num_neurons:[512, 128]"
MLP,3,1,16,ReLU,CrossEntropyLoss,SGD,0.001,0.0001,25.213366508483887,1.8424290555000304,1.7363596675872803,0.3317,0.3795,0,"num_neurons:[512, 256, 128]"
MLP,3,2,16,ReLU,CrossEntropyLoss,SGD,0.001,0.0001,25.248054027557373,1.6681618059873582,1.6443849033355713,0.398475,0.4074,0,"num_neurons:[512, 256, 128]"
MLP,3,3,16,ReLU,CrossEntropyLoss,SGD,0.001,0.0001,25.21368956565857,1.595472541618347,1.5906916562080384,0.425525,0.4243,0,"num_neurons:[512, 256, 128]"
MLP,3,4,16,ReLU,CrossEntropyLoss,SGD,0.001,0.0001,25.17819333076477,1.5458943275213242,1.5638447542190552,0.44115,0.4386,0,"num_neurons:[512, 256, 128]"
MLP,3,5,16,ReLU,CrossEntropyLoss,SGD,0.001,0.0001,25.150601387023926,1.5076489660739898,1.539969329547882,0.457075,0.4434,0,"num_neurons:[512, 256, 128]"
MLP,3,6,16,ReLU,CrossEntropyLoss,SGD,0.0005,0.0001,25.233953952789307,1.4376345671892166,1.4686315957069398,0.48405,0.4739,0,"num_neurons:[512, 256, 128]"
MLP,3,7,16,ReLU,CrossEntropyLoss,SGD,0.0005,0.0001,25.276843309402466,1.4110523472547531,1.4556529260635376,0.495875,0.4869,0,"num_neurons:[512, 256, 128]"
MLP,3,8,16,ReLU,CrossEntropyLoss,SGD,0.0005,0.0001,25.502212047576904,1.3904577741146087,1.450111921596527,0.49945,0.4838,0,"num_neurons:[512, 256, 128]"
MLP,3,9,16,ReLU,CrossEntropyLoss,SGD,0.0005,0.0001,25.333142280578613,1.3798403240203858,1.4446526547431946,0.504725,0.4813,0,"num_neurons:[512, 256, 128]"
MLP,3,10,16,ReLU,CrossEntropyLoss,SGD,0.0005,0.0001,25.278493881225586,1.36836340842247,1.4161263622283935,0.506875,0.4944,0,"num_neurons:[512, 256, 128]"
MLP,3,11,16,ReLU,CrossEntropyLoss,SGD,0.00025,0.0001,25.31423020362854,1.3218235632896422,1.3743766351699829,0.522925,0.5084,0,"num_neurons:[512, 256, 128]"
MLP,3,12,16,ReLU,CrossEntropyLoss,SGD,0.00025,0.0001,25.377046585083008,1.305636678814888,1.3786497694015503,0.53,0.5091,0,"num_neurons:[512, 256, 128]"
