net_function,loss_function,optimizer_function,weight_decay,momentum,lr,use_lr_scheduler,use_lr_scheduler_StepLR,epoch,val_loss,val_dsc
UNet,DiceLoss,Adam,0,0.9,0.0001,True,True,1,0.9257672287168957,0.6835432191539376
UNet,DiceLoss,Adam,0,0.9,0.0001,True,True,2,0.9103528970763797,0.6909354429759483
UNet,DiceLoss,Adam,0,0.9,0.0001,True,True,3,0.886934879280272,0.737462502762252
UNet,DiceLoss,Adam,0,0.9,0.0001,True,True,4,0.8588868095761254,0.583518880132796
UNet,DiceLoss,Adam,0,0.9,0.0001,True,True,5,0.8079090856370472,0.7788678709769964
UNet,DiceLoss,Adam,0,0.9,0.0001,True,True,6,0.771031882081713,0.7002080224666226
UNet,DiceLoss,Adam,0,0.9,0.0001,True,True,7,0.7258437871932983,0.8024910557976728
UNet,DiceLoss,Adam,0,0.9,0.0001,True,True,8,0.6893002788225809,0.7938550314387869
UNet,DiceLoss,Adam,0,0.9,0.0001,True,True,9,0.635285496711731,0.8056102821722106
UNet,DiceLoss,Adam,0,0.9,0.0001,True,True,10,0.6077292675063724,0.8114844969346207
UNet,DiceLoss,Adam,0,0.9,0.0001,True,True,11,0.5674371946425665,0.8140465737262437
UNet,DiceLoss,Adam,0,0.9,0.0001,True,True,12,0.5532686454909188,0.8097656164402475
UNet,DiceLoss,Adam,0,0.9,0.0001,True,True,13,0.5206259914806911,0.8134248960644243
UNet,DiceLoss,Adam,0,0.9,0.0001,True,True,14,0.503006446929205,0.9047877958933135
UNet,DiceLoss,Adam,0,0.9,0.0001,True,True,15,0.4843017402149382,0.8129663904938165
UNet,DiceLoss,Adam,0,0.9,0.0001,True,True,16,0.4686721052442278,0.8167555898188381
UNet,DiceLoss,Adam,0,0.9,0.0001,True,True,17,0.4581529384567624,0.8148261921633184
UNet,DiceLoss,Adam,0,0.9,0.0001,True,True,18,0.45405074528285433,0.8136723847844689
UNet,DiceLoss,Adam,0,0.9,0.0001,True,True,19,0.43478976828711374,0.8157338184844309
UNet,DiceLoss,Adam,0,0.9,0.0001,True,True,20,0.419345117750622,0.9073265726014081
UNet,DiceLoss,Adam,0,0.9,0.0001,True,True,21,0.41593232325145174,0.8167368107239504
UNet,DiceLoss,Adam,0,0.9,0.0001,True,True,22,0.41061731463386897,0.8157371562902173
UNet,DiceLoss,Adam,0,0.9,0.0001,True,True,23,0.40126102027438937,0.8162456080864791
UNet,DiceLoss,Adam,0,0.9,0.0001,True,True,24,0.3957084701174781,0.8135877779263536
UNet,DiceLoss,Adam,0,0.9,0.0001,True,True,25,0.3901800655183338,0.8144933457024243
UNet,DiceLoss,Adam,0,0.9,0.0001,True,True,26,0.38870817990530104,0.8142603197709247
UNet,DiceLoss,Adam,0,0.9,0.0001,True,True,27,0.3813357097761972,0.8127699168078737
