net_function,active_function,loss_function,optimizer_function,weight_decay,momentum,use_lr_scheduler,epoch,val_loss,val_dsc
UNet,ReLU,DiceLoss,Adam,0,0.9,FALSE,1,0.932391794,0.586244363
UNet,ReLU,DiceLoss,Adam,0,0.9,FALSE,2,0.919100134,0.643215267
UNet,ReLU,DiceLoss,Adam,0,0.9,FALSE,3,0.901814256,0.72430947
UNet,ReLU,DiceLoss,Adam,0,0.9,FALSE,4,0.879386428,0.665767764
UNet,ReLU,DiceLoss,Adam,0,0.9,FALSE,5,0.834836733,0.779885878
UNet,ReLU,DiceLoss,Adam,0,0.9,FALSE,6,0.783917847,0.796802929
UNet,ReLU,DiceLoss,Adam,0,0.9,FALSE,7,0.731280631,0.788789698
UNet,ReLU,DiceLoss,Adam,0,0.9,FALSE,8,0.669144667,0.80718525
UNet,ReLU,DiceLoss,Adam,0,0.9,FALSE,9,0.62031539,0.813332074
UNet,ReLU,DiceLoss,Adam,0,0.9,FALSE,10,0.571264409,0.815496521
UNet,ReLU,DiceLoss,Adam,0,0.9,FALSE,11,0.596706643,0.720112925
UNet,ReLU,DiceLoss,Adam,0,0.9,FALSE,12,0.501919128,0.906063942
UNet,ReLU,DiceLoss,Adam,0,0.9,FALSE,13,0.471045091,0.914145743
UNet,ReLU,DiceLoss,Adam,0,0.9,FALSE,14,0.450252076,0.820439127
UNet,ReLU,DiceLoss,Adam,0,0.9,FALSE,15,0.435546097,0.818197939
UNet,ReLU,DiceLoss,Adam,0,0.9,FALSE,16,0.414308662,0.909175238
UNet,ReLU,DiceLoss,Adam,0,0.9,FALSE,17,0.402068439,0.816279032
UNet,ReLU,DiceLoss,Adam,0,0.9,FALSE,18,0.397993462,0.818236053
UNet,ReLU,DiceLoss,Adam,0,0.9,FALSE,19,0.390968822,0.816602455
UNet,ReLU,DiceLoss,Adam,0,0.9,FALSE,20,0.37538126,0.815055828
UNet,ReLU,DiceLoss,Adam,0,0.9,FALSE,21,0.3612194,0.818678689
UNet,ReLU,DiceLoss,Adam,0,0.9,FALSE,22,0.364970488,0.81626509
UNet,ReLU,DiceLoss,Adam,0,0.9,FALSE,23,0.363881914,0.818743409
UNet,ReLU,DiceLoss,Adam,0,0.9,FALSE,24,0.336708804,0.817650785
UNet,ReLU,DiceLoss,Adam,0,0.9,FALSE,25,0.343861781,0.81138678
