epoch,con_loss,adv_loss,dic_loss
0,0.5733,,
0,0.4469,,
0,0.4155,,
0,0.4662,,
0,0.3227,,
0,0.4031,,
0,0.4564,,
0,0.4091,,
0,0.2435,,
0,0.4196,,
0,0.4423,,
0,0.3342,,
0,0.427,,
0,0.3195,,
0,0.2544,,
0,0.511,,
0,0.3868,,
0,0.4287,,
0,0.3552,,
0,0.2656,,
0,0.3052,,
0,0.5196,,
0,0.425,,
0,0.2902,,
0,0.3005,,
0,0.5361,,
0,0.4828,,
0,0.2773,,
0,0.4214,,
0,0.4195,,
0,0.3692,,
0,0.4586,,
0,0.3547,,
0,0.4419,,
0,0.595,,
0,0.2554,,
0,0.2262,,
0,0.5995,,
0,0.3459,,
0,0.4231,,
0,0.3971,,
0,0.2013,,
0,0.4094,,
0,0.5557,,
0,0.43,,
0,0.3604,,
0,0.3643,,
0,0.378,,
0,0.3571,,
0,0.3916,,
1,0.2097,,
1,0.3417,,
1,0.3106,,
1,0.2888,,
1,0.3148,,
1,0.3365,,
1,0.4326,,
1,0.3975,,
1,0.3099,,
1,0.3409,,
1,0.3704,,
1,0.2824,,
1,0.4359,,
1,0.299,,
1,0.4416,,
1,0.3677,,
1,0.3889,,
1,0.3789,,
1,0.4139,,
1,0.3468,,
1,0.3074,,
1,0.279,,
1,0.3617,,
1,0.3447,,
1,0.2816,,
1,0.222,,
1,0.2287,,
1,0.433,,
1,0.4013,,
1,0.2062,,
1,0.2931,,
1,0.2154,,
1,0.2227,,
1,0.2911,,
1,0.2526,,
1,0.2195,,
1,0.2868,,
1,0.1866,,
1,0.3039,,
1,0.3736,,
1,0.3053,,
1,0.2845,,
1,0.427,,
1,0.1522,,
1,0.2914,,
1,0.3221,,
1,0.2846,,
1,0.2734,,
1,0.2893,,
1,0.3025,,
2,0.2699,,
2,0.271,,
2,0.1833,,
2,0.2789,,
2,0.2804,,
2,0.1593,,
2,0.289,,
2,0.3297,,
2,0.3315,,
2,0.2617,,
2,0.3369,,
2,0.249,,
2,0.6101,,
2,0.1873,,
2,0.3436,,
2,0.2314,,
2,0.3651,,
2,0.2664,,
2,0.1936,,
2,0.3905,,
2,0.2675,,
2,0.304,,
2,0.2872,,
2,0.1706,,
2,0.3564,,
2,0.2005,,
2,0.2319,,
2,0.1463,,
2,0.2608,,
2,0.3857,,
2,0.2106,,
2,0.3054,,
2,0.2757,,
2,0.2323,,
2,0.1974,,
2,0.2355,,
2,0.4738,,
2,0.2611,,
2,0.128,,
2,0.3316,,
2,0.242,,
2,0.3516,,
2,0.1985,,
2,0.2243,,
2,0.389,,
2,0.3004,,
2,0.2237,,
2,0.3367,,
2,0.4067,,
2,0.1594,,
3,0.2237,,
3,0.3007,,
3,0.2296,,
3,0.1798,,
3,0.4135,,
3,0.335,,
3,0.275,,
3,0.4007,,
3,0.2707,,
3,0.2759,,
3,0.1619,,
3,0.2714,,
3,0.3494,,
3,0.2891,,
3,0.3451,,
3,0.2715,,
3,0.2011,,
3,0.2389,,
3,0.3169,,
3,0.2647,,
3,0.2888,,
3,0.28,,
3,0.4995,,
3,0.2428,,
3,0.4287,,
3,0.3062,,
3,0.4479,,
3,0.2467,,
3,0.2642,,
3,0.2653,,
3,0.3362,,
3,0.2193,,
3,0.2527,,
3,0.2113,,
3,0.3897,,
3,0.408,,
3,0.2193,,
3,0.2723,,
3,0.3056,,
3,0.2205,,
3,0.2662,,
3,0.3243,,
3,0.2062,,
3,0.3058,,
3,0.1605,,
3,0.2075,,
3,0.2248,,
3,0.1901,,
3,0.3189,,
3,0.2697,,
4,0.2973,,
4,0.2691,,
4,0.252,,
4,0.2625,,
4,0.2599,,
4,0.2548,,
4,0.2994,,
4,0.2523,,
4,0.1761,,
4,0.3074,,
4,0.1469,,
4,0.179,,
4,0.3762,,
4,0.3255,,
4,0.2327,,
4,0.3254,,
4,0.2525,,
4,0.2229,,
4,0.2666,,
4,0.4183,,
4,0.1702,,
4,0.2752,,
4,0.3237,,
4,0.1247,,
4,0.3338,,
4,0.3557,,
4,0.2176,,
4,0.2187,,
4,0.3446,,
4,0.2647,,
4,0.2918,,
4,0.2453,,
4,0.2211,,
4,0.297,,
4,0.2005,,
4,0.1914,,
4,0.2647,,
4,0.1895,,
4,0.2067,,
4,0.2269,,
4,0.1934,,
4,0.3826,,
4,0.2655,,
4,0.3492,,
4,0.307,,
4,0.3057,,
4,0.2314,,
4,0.2877,,
4,0.3238,,
4,0.3052,,
5,0.3007,,
5,0.4365,,
5,0.217,,
5,0.1951,,
5,0.2303,,
5,0.1711,,
5,0.2629,,
5,0.2712,,
5,0.3279,,
5,0.1463,,
5,0.1889,,
5,0.2649,,
5,0.2503,,
5,0.3225,,
5,0.2753,,
5,0.2528,,
5,0.291,,
5,0.2858,,
5,0.281,,
5,0.2948,,
5,0.1788,,
5,0.2979,,
5,0.3225,,
5,0.1984,,
5,0.3207,,
5,0.1827,,
5,0.1932,,
5,0.1396,,
5,0.2381,,
